Lx,Ly,Lz,Rx,Ry,Rz,label
14988,2892,4584,16800,104,1152,1
13872,4512,9520,16760,232,1548,1
24168,-2276,-236,16676,1104,492,1
14580,1724,1768,16216,1628,-2700,1
16068,-2532,2672,16512,-1080,464,1
16716,-1304,1896,16116,-2224,5976,1
16244,-3484,3260,16940,656,4524,1
16104,880,3288,16496,-4816,2852,1
16236,-460,2836,15668,-7872,2200,1
16428,-3848,5052,17280,7536,2516,1
16268,-720,4024,16036,1060,2108,1
16592,2036,1576,16056,-8144,2592,1
16040,-2720,4888,16776,-4056,4836,1
16280,-2228,3160,16076,92,2664,1
15876,3832,3796,16560,-400,2084,1
16300,-3232,2972,16584,-1228,2736,1
16308,-1452,2572,15696,-2444,2248,1
16032,-5636,5196,15108,-940,4084,1
16692,-2756,4896,17580,-548,2944,1
15704,7292,1424,16148,-5904,2344,1
16320,-5800,8444,16316,-2832,2020,1
16724,-3868,4724,21264,1112,636,1
16584,1012,4296,18980,224,-436,1
16280,-2028,2824,16984,-2260,3100,1
15256,-3076,2124,9332,-6568,5352,1
15148,816,-36,9580,-2624,7764,1
17016,-1532,3840,29452,7516,-9132,1
15596,-3776,8168,8632,-4380,-440,1
16280,-4344,7384,18268,4948,2308,1
18008,9196,6472,16504,-1228,3172,1
15732,-4144,7048,15536,-11112,-40,1
15568,-8480,5364,17396,10100,3988,1
15788,1468,4988,17080,-2072,548,1
16304,3016,4848,15280,-3476,-860,1
16288,-3776,5184,16572,-5532,4104,1
15792,-3028,4344,16672,5724,3612,1
16600,-20,2452,16104,2256,3116,1
19816,72,2288,16196,-7316,-252,1
18896,-2692,656,16728,5552,4172,1
14912,32,10464,16648,-728,2272,1
11912,176,3344,16388,648,3992,1
13852,516,9260,16380,-1332,1096,1
10516,296,11592,16076,4160,-1736,1
32767,-2360,1828,17292,-1400,7548,1
19664,6136,864,16584,-1228,4096,1
18132,-2568,2908,16348,-392,2960,1
17128,1216,2092,16376,696,2056,1
16840,-2492,1108,16204,-80,500,1
16184,-508,580,16040,-344,1924,1
16556,-2228,1828,15816,-172,3760,1
15768,-1756,784,16784,-40,4368,1
16532,-4028,1492,15924,384,3052,1
15680,1228,2644,15908,-3352,4796,1
16872,15032,5584,15584,-6540,4540,1
15352,-12096,5536,16184,-464,4444,1
14300,-8168,6512,16628,5316,3176,1
16464,8572,236,16216,-732,4748,1
16240,-6068,2864,15480,-2580,3984,1
16460,736,3724,16452,-3068,4164,1
16604,-1468,4400,18920,-432,2204,1
15988,-864,5352,19448,128,28,1
16772,-2348,3572,16740,-1924,4244,1
16164,-2960,3696,14424,-1024,2588,1
15552,-1836,1296,14992,-1432,3788,1
15680,-64,2760,6868,-3676,10120,1
17152,-4904,4264,29316,5760,1440,1
14828,64,6248,9292,-4080,-280,1
16172,168,4204,15908,-40,4572,1
14984,-2372,4912,16256,1112,4308,1
15684,-4128,2784,15440,2556,920,1
14940,-1584,5492,16432,2144,468,1
16476,6100,5896,16352,-9320,1052,1
16512,216,5980,16648,1376,3388,1
14320,-6072,6152,17068,4300,3184,1
17044,1764,4668,16652,-72,1488,1
15848,484,4840,16060,-3836,428,1
15624,-1112,2956,16684,1640,2332,1
15740,-1820,4548,16796,-140,1840,1
15996,-12,6276,16312,-1340,2880,1
15916,-172,4760,16472,-3352,3188,1
16020,-1740,4884,16616,-1440,2944,1
15888,-412,4464,16784,-552,3556,1
16724,-896,864,16068,980,3272,1
19552,-96,3596,16928,988,3140,1
17092,-2752,5424,16428,-112,3128,1
13944,948,3844,16408,24,3660,1
13888,24,4352,16244,864,2084,1
12908,-1936,8824,16300,784,924,1
16440,-956,32608,17136,-340,3272,1
16564,-7772,512,16200,-4,4748,1
14584,-1960,5272,16320,-1588,3976,1
14788,-2004,4368,16280,-1968,3288,1
14904,1564,988,16260,320,1752,1
15648,-1428,4180,16440,-904,2864,1
16560,-3988,3680,15960,3656,5588,1
16204,-2512,3200,16252,-1088,3672,1
16176,-4192,3324,15884,-2388,2844,1
16436,7196,2812,15828,-3608,3476,1
15864,-5604,5468,16140,2764,4592,1
16532,-3056,5272,16268,1104,3300,1
15452,-1000,3292,16336,-1304,3744,1
17084,8548,2788,16304,-5448,3684,1
15372,-6888,6384,16500,-916,3052,1
16380,-1716,2972,16284,200,3644,1
16108,-2712,3060,15892,-1548,3332,1
16252,-1252,4380,16012,-2440,3716,1
16544,-4328,4252,17352,-856,2968,1
16032,316,4332,19356,392,-344,1
16068,-812,4428,17844,-1652,2072,1
16088,-1996,4772,16536,-1796,4052,1
16428,-3916,4320,13400,-3404,4376,1
15996,-2096,2480,13976,-1608,7648,1
16040,-1056,2236,8984,-4408,10628,1
16956,-2040,4896,25192,812,3644,1
