Lx,Ly,Lz,Rx,Ry,Rz
16228,3612,4704,16332,-2944,84
7300,2924,-13012,16580,-2988,32
7280,2940,-13200,16584,-2868,20
7192,2992,-13328,16440,-2784,212
7248,3056,-13324,16564,-2788,64
7136,3068,-13064,16556,-2724,-104
7212,3000,-13112,16556,-2796,-72
7140,2964,-13180,16468,-2836,96
7264,3064,-13148,16552,-2904,88
7180,2984,-13100,16568,-2880,-24
7172,3120,-13416,16404,-2916,-148
7176,2928,-13236,16536,-2912,24
7136,3052,-13192,16444,-2952,300
7184,3020,-13084,16412,-2988,132
7164,3052,-13236,16520,-3016,-44
7208,2868,-13392,16532,-2988,96
7140,3056,-13144,16460,-3032,-136
7184,3036,-13612,16444,-2956,20
6964,2984,-13164,16468,-2848,96
7020,3220,-13268,16464,-2916,168
6548,3488,-13076,16444,-2964,20
6908,3128,-13256,16552,-3084,-48
7084,2980,-13344,16516,-3048,-184
6916,3240,-13152,16512,-3028,-212
6976,3116,-13536,16464,-3016,-60
6868,3096,-13420,16468,-3128,52
6864,3408,-13228,16440,-2960,40
6608,2944,-13316,16644,-3068,-168
6664,4044,-13188,16440,-3172,-92
6928,2988,-13256,16516,-3156,8
6620,2976,-13364,16448,-3024,16
6732,3416,-13448,16472,-2960,-8
6852,2956,-13264,16444,-3024,0
6812,3536,-13660,16592,-3152,24
6720,3256,-13480,16428,-3020,-28
6720,3112,-13380,16528,-3056,-68
6780,3356,-13272,16488,-3176,40
6756,3244,-13300,16452,-3088,-40
6808,3208,-13496,16424,-3152,-72
6716,3236,-13440,16356,-3220,20
6824,3184,-13328,16440,-3144,52
6800,3272,-13540,16472,-3004,-8
6768,3180,-13336,16480,-2872,12
6788,3316,-13476,16508,-2828,-32
6788,3332,-13412,16480,-3000,84
6724,3548,-13332,16448,-3080,112
6856,3172,-13308,16404,-3208,-36
6844,3120,-13284,16352,-3160,-100
6616,3512,-13372,16548,-3276,-108
6940,3180,-13152,16404,-3256,-24
6756,3820,-13672,16692,-2992,-236
6532,3128,-13280,16420,-2832,56
6492,3192,-13456,16572,-2976,-68
6736,3184,-13408,16412,-2940,-132
6664,3176,-13404,16500,-2980,-144
6772,3344,-13316,16596,-3116,40
6792,3296,-13428,16384,-3248,140
6692,3368,-13440,16360,-3520,24
6708,3092,-13344,16248,-3532,-44
6568,3340,-13456,16492,-3144,-156
6680,3224,-13496,16440,-3144,-76
6696,3212,-13424,16440,-3216,40
6568,3308,-13392,16352,-3208,20
6708,3256,-13416,16404,-3252,24
6632,3156,-13416,16400,-3348,-88
6724,3280,-13320,16384,-3280,120
6608,3296,-13516,16396,-3536,-28
6624,3324,-13320,16376,-3624,104
6440,3324,-13496,16388,-3440,-96
6624,3184,-13252,16332,-3492,-116
6568,3500,-13372,16428,-3312,-72
6760,3084,-13316,16464,-3220,-84
6504,3440,-13288,16360,-3168,-48
6512,3224,-13500,16544,-3068,-24
6588,3108,-13284,16444,-2992,48
6512,3364,-13508,16520,-3044,-48
6824,3128,-13016,16592,-3152,-8
6508,3428,-13668,16328,-3248,104
6704,3328,-13324,16488,-3248,8
6556,3368,-13468,16340,-3352,-120
6412,3404,-13648,16464,-3376,128
6644,2900,-13160,16396,-3352,96
6560,3300,-13368,16424,-3328,156
6584,3224,-13556,16468,-3396,48
6652,3188,-13460,16416,-3208,104
6604,3204,-13432,16448,-3228,72
6604,3204,-13476,16508,-3184,140
6648,3340,-13540,16408,-3360,156
6532,3276,-13404,16380,-3368,200
6596,3576,-13684,16344,-3372,344
6540,3304,-13440,16356,-3144,248
6852,2940,-13264,16460,-3548,-160
6572,3252,-13412,16580,-3280,-440
6552,3324,-13624,16240,-3216,-136
6596,3172,-13492,16352,-3644,812
6468,3384,-13388,16196,-3836,768
6668,3368,-13468,16284,-3728,260
6528,3212,-13488,16448,-3516,80
6660,3228,-13448,16344,-3408,-180
6612,3192,-13440,16508,-3364,-72
6604,3320,-13296,16384,-3708,160
6572,3236,-13404,16280,-3908,124
6648,3276,-13376,16320,-3864,-12
6640,3240,-13416,16284,-3932,144
