Lx,Ly,Lz,Rx,Ry,Rz
16112,1332,3804,16576,-1048,1264
16180,1448,3436,16484,-940,1200
16172,1164,3300,16644,-936,1116
16160,1344,3260,16640,-820,1008
16160,1312,3332,16592,-952,1072
16176,1296,3444,16512,-992,1076
16176,1556,3444,16608,-768,1336
16308,1312,3700,16492,-712,1092
16076,1488,3524,16532,-1024,1416
16376,1208,3564,16752,-1004,1272
16124,1416,3712,16664,-544,1428
16128,1636,4040,16584,-760,984
15956,1564,3612,16520,-764,796
16440,1428,2820,16640,-480,648
16324,1604,3288,16628,-712,1076
16184,936,3652,16316,-1300,1616
16288,892,3036,16644,-840,1100
16380,1208,2852,16596,-936,1572
16268,1300,3384,16516,-1084,1808
16188,1312,3680,16580,-924,1584
16140,980,3324,16596,-1192,1672
16252,1180,3008,16492,-1060,1492
16220,1184,3512,16572,-1268,1716
16144,1060,3452,16540,-1216,1748
16220,1136,3664,16492,-1272,1736
16096,1068,3700,16444,-1196,1716
16268,1032,3680,16540,-1252,1960
16212,956,3628,16436,-1508,1920
16008,1148,3784,16424,-1376,1828
16424,1052,4296,16524,-1276,2176
16020,1268,4180,16440,-1348,2160
16352,1004,4084,16500,-1336,1784
16164,1152,3680,16540,-1400,1892
16172,988,3716,16564,-1264,1896
16164,888,3772,16468,-1428,1800
16080,864,3756,16472,-1480,1900
16188,1096,3852,16520,-1412,1992
16192,1180,3864,16464,-1292,1856
16240,1148,4116,16448,-1276,1776
16236,1088,3912,16516,-1128,1816
16100,1164,3888,16484,-1300,1932
16196,1072,3788,16412,-1188,1784
16184,1260,3752,16388,-1276,1884
16136,1172,3860,16596,-1128,1800
16112,1212,3744,16480,-1180,1784
16172,1216,3628,16508,-1164,1812
16148,1264,3676,16472,-1256,1744
16080,1264,3792,16544,-1084,1612
16184,1224,3736,16516,-1124,1792
16176,1276,3828,16508,-1016,1764
16152,1200,3708,16552,-1168,1720
16188,1084,3936,16420,-1316,1720
16036,1080,3696,16560,-1280,1672
16352,1084,3604,16516,-1188,1628
16004,896,4040,16504,-1364,1928
16292,1948,4088,16552,-1132,2028
16156,424,4304,16588,-1388,2084
16240,1324,3384,16440,-1264,1408
16104,-2060,3116,17852,-3016,3068
15788,-2576,3704,14456,-2888,4156
15852,-2436,5124,16444,1784,5552
16076,-1804,6352,16736,-1988,4388
16748,-120,6196,14596,-2588,3644
16660,-1784,5128,16172,-1944,3372
16324,-2924,3504,13456,-3968,-1592
16620,-1212,5736,13068,-520,-424
